邢台,23,22,1
永川区,5,5,0
潮州,5,5,0
长宁区,13,13,0
沈阳,28,25,0
淄博,30,21,1
通辽,7,4,0
荆门,927,622,39
红河州,9,9,0
惠州,62,60,0
嘉定区,9,7,0
崇明区,4,3,0
六安,69,63,0
江北区,28,22,0
大兴区,39,2,0
营口,1,1,0
拉萨,1,1,0
武汉,49315,21349,2227
东方,3,2,0
乐东,2,2,0
开州区,21,19,1
巴州,3,3,0
龙岩,6,6,0
常州,51,50,0
广元,6,6,0
宁波,157,149,0
金华,55,54,0
东丽区,4,4,0
河北区,12,10,0
甘南,8,8,0
淮安,66,57,0
公主岭,6,6,0
兵团第九师,4,2,1
铜陵,29,29,0
奉贤区,9,8,0
孝感,3518,2397,120
滨海新区,3,3,0
奉节县,22,18,0
唐山,58,50,1
黑河,14,11,0
厦门,35,34,0
佳木斯,15,15,0
凉山,3,0,0
淮北,27,24,0
福州,72,70,1
柳州,24,16,0
南岸区,15,8,0
阿克苏地区,1,1,0
宜春,106,104,0
淮南,27,23,0
津南区,2,1,0
梧州,5,5,0
开封,26,18,0
达州,42,28,0
澄迈,9,7,1
垫江县,20,15,0
定安,3,2,1
沧州,48,45,3
秦皇岛,10,9,1
盘锦,11,11,0
宿迁,13,12,0
亳州,108,107,0
邵阳,102,100,1
毕节,23,16,0
绍兴,42,38,0
珠海,98,80,1
丰台区,42,3,0
张掖,2,2,0
济源,5,4,0
绵阳,22,16,0
滁州,13,11,0
梁平区,4,4,0
綦江区,23,15,0
宁河区,4,3,0
澳门,2,0,0
运城,19,18,0
南宁,55,54,0
河源,4,4,0
荣昌区,9,7,0
两江新区,17,15,0
鄂州,1391,814,48
承德,7,7,0
兴安盟,1,1,0
渝北区,17,16,0
滨州,15,13,0
湛江,22,19,0
省十里丰监狱,36,5,0
和平区,6,5,0
岳阳,156,124,1
潼南区,18,10,0
吕梁,6,6,0
南开区,6,4,0
玉林,11,8,0
昭通,25,25,0
锡林郭勒盟,9,3,0
万州区,118,89,4
广州,346,264,1
益阳,60,59,0
固原,5,5,0
德阳,18,11,0
焦作,32,31,1
海北州,3,3,0
城口县,2,2,0
潜江,198,122,9
